cat,sub_cat,name,spec,msg,qr0,qr1,qr2,qr3,qr4,qr5,qr6,qr7,qr8,qr9,flow_name,flow_id,node_id
Activity,Adult01,Calm,A short pause,"A Short Pause
•	Sit down and close your eyes
•	Listen to your breath as it goes in and out. 
•	Notice how you feel. 
•	Take a few more deep breaths.
•	When you are ready open your eyes again. Do you feel any different? 
•	Remind yourself that “Everything is ok”",,,,,,,,,,,PLH - Activity - Adult01 - Calm - A short pause,fc48f45b-7b20-4e40-86e5-ec75633c2f8f,09aa0301-ab17-41f3-a389-817d366b03e8
Activity,Adult02,Active,"2 truths, 1 lie","2 Truths, 1 Lie
•	Think of three statements about yourself. Two must be true and one must be a lie.
•	It might help to think of wishes, dreams, likes or dislikes. For example, I hate bananas, I love ice cream and I really wish I could sing. 
•	Say them to your partner or friends. Ask them to guess which one is a lie. 
•	Did they guess correctly? Was it a surprise?
•	Now ask them to do the same. Did you learn something new about each other? ",,,,,,,,,,,"PLH - Activity - Adult02 - Active - 2 truths, 1 lie",ed25ef71-8116-4b0d-88d8-7c108924a94a,56d42f4a-2d5e-4a4a-8e44-91450a04da46
Activity,Adult03,Active,Family work out,"Family Work Out
•	Choose a sport or exercise to do together
•	Decide on a schedule. Are you going to do it every day? For how long? 
•	Try it out for a week. 
•	At the end of the week, ask yourself and your family these questions. How´s it going? How did you feel at the start of the week? How do you feel at the end of the week? What can we do differently next week?",,,,,,,,,,,PLH - Activity - Adult03 - Active - Family work out,ab5e277b-6a3c-4620-a2f6-67e630428141,63a0c0f3-89c0-4c34-ac5b-a9fedf548d0a
Activity,Adult04,Active,Crazy chicken,"Crazy Chicken
•	Shake your hand in the air 8 times while counting
•	Do it as fast and loud as you can
•	Repeat with your other hand and both feet
•	Do it 7 times, then 6 times until you get to 1.
•	Call out “Crazy chicken” as loud as you can!
•	Have you released all your stress? If not, do it again even faster and louder! ",,,,,,,,,,,PLH - Activity - Adult04 - Active - Crazy chicken,d41eb2e3-7206-4525-90b0-65175c4b2663,4ca275ca-c2e0-4b30-bb90-fbae7c8d38bb
Activity,Adult05,Calm,Take a pause,Taking a Pause is a simple relaxation activity that you can do whenever you are feeling stressed or worried. It can also be helpful when you find your child is irritating you or has done something wrong.,,,,,,,,,,,PLH - Activity - Adult05 - Calm - Take a pause,e008f1e8-77b0-4f65-853c-9953d672dd1a,c872e039-dea9-4673-935d-f5e2401e109c
Activity,Adult05,Calm,Take a pause,Step 4. Expand your awareness to your whole body. Listen to the sounds in the room.,,,,,,,,,,,PLH - Activity - Adult05 - Calm - Take a pause,e008f1e8-77b0-4f65-853c-9953d672dd1a,a5a12f6d-fd2f-4f22-ad01-44af6f6a393e
Activity,Adult05,Calm,Take a pause,"Notice how you are feeling emotionally. Notice if your emotions are pleasant or unpleasant. Remind yourself that whatever you feel, it is okay.",,,,,,,,,,,PLH - Activity - Adult05 - Calm - Take a pause,e008f1e8-77b0-4f65-853c-9953d672dd1a,d0aa6f47-8f25-4bc7-8917-c80adc7f5562
Activity,Adult05,Calm,Take a pause,"Step 5. Take a moment to reflect on whether you feel any different. When you are ready, open your eyes.",,,,,,,,,,,PLH - Activity - Adult05 - Calm - Take a pause,e008f1e8-77b0-4f65-853c-9953d672dd1a,45b1e378-7b1a-4da3-a175-8e4f2a977fc4
Activity,Adult05,Calm,Take a pause,Notice how your body feels. Notice anything that hurts or is tense.,,,,,,,,,,,PLH - Activity - Adult05 - Calm - Take a pause,e008f1e8-77b0-4f65-853c-9953d672dd1a,ded982a0-bdc8-4c06-8440-586de9a63e26
Activity,Adult05,Calm,Take a pause,Step 1. Close your eyes and take a deep breath. ,,,,,,,,,,,PLH - Activity - Adult05 - Calm - Take a pause,e008f1e8-77b0-4f65-853c-9953d672dd1a,4339c27e-c973-4dc0-9b17-5a94be725adf
